n,t
10,0.000017
20,0.000030
30,0.000050
40,0.000084
50,0.000095
60,0.000149
70,0.000196
80,0.000226
90,0.000294
100,0.000309
110,0.000380
120,0.000467
130,0.000533
140,0.000611
150,0.000668
160,0.000744
170,0.000833
180,0.000468
190,0.000475
200,0.000506
210,0.000471
220,0.000492
230,0.000501
240,0.000522
250,0.000594
260,0.000620
270,0.000621
280,0.000698
290,0.000721
300,0.000767
310,0.000807
320,0.000876
330,0.000904
340,0.000945
350,0.001036
360,0.001063
370,0.001109
380,0.001204
390,0.001238
400,0.001326
410,0.001370
420,0.001440
430,0.001521
440,0.001592
450,0.001671
460,0.002245
470,0.002080
480,0.002089
490,0.002116
500,0.002099
510,0.002310
520,0.002371
530,0.002404
540,0.002392
550,0.002528
560,0.002577
570,0.002698
580,0.002733
590,0.002878
600,0.002912
610,0.003066
620,0.003128
630,0.003730
640,0.004063
650,0.003941
660,0.003664
670,0.004309
680,0.004284
690,0.004502
700,0.004585
710,0.005118
720,0.005102
730,0.005294
740,0.006179
750,0.004660
760,0.004961
770,0.005118
780,0.004931
790,0.005109
800,0.005062
810,0.005288
820,0.006306
830,0.005708
840,0.005652
850,0.006140
860,0.005888
870,0.006111
880,0.006137
890,0.006725
900,0.007170
910,0.007567
920,0.007517
930,0.007915
940,0.008264
950,0.008311
960,0.008091
970,0.007631
980,0.007814
990,0.008230
1000,0.008689
1010,0.008241
1020,0.008804
1030,0.008621
1040,0.008539
1050,0.009622
1060,0.009929
1070,0.011363
1080,0.009307
1090,0.009588
1100,0.009523
1110,0.010884
1120,0.010866
1130,0.011085
1140,0.011275
1150,0.011344
1160,0.011798
1170,0.013333
1180,0.012928
1190,0.012368
1200,0.011993
1210,0.013328
1220,0.012643
1230,0.013191
1240,0.013164
1250,0.013777
1260,0.014448
1270,0.014905
1280,0.015138
1290,0.013960
1300,0.013887
1310,0.015097
1320,0.014696
1330,0.015292
1340,0.017400
1350,0.017345
1360,0.014815
1370,0.016136
1380,0.015742
1390,0.016413
1400,0.016160
1410,0.018349
1420,0.018711
1430,0.017696
1440,0.016866
1450,0.017287
1460,0.017336
1470,0.018834
1480,0.019837
1490,0.019842
1500,0.019485
1510,0.020187
1520,0.019205
1530,0.019901
1540,0.021007
1550,0.022091
1560,0.019464
1570,0.021306
1580,0.020325
1590,0.020749
1600,0.023055
1610,0.022545
1620,0.021721
1630,0.022072
1640,0.021996
1650,0.024164
1660,0.024480
1670,0.023308
1680,0.023020
1690,0.023909
1700,0.026108
1710,0.027413
1720,0.024260
1730,0.024953
1740,0.024793
1750,0.028912
1760,0.026633
1770,0.025817
1780,0.027049
1790,0.029661
1800,0.029933
1810,0.027400
1820,0.026468
1830,0.027823
1840,0.030031
1850,0.028333
1860,0.028070
1870,0.029837
1880,0.031541
1890,0.030058
1900,0.029081
1910,0.029784
1920,0.032764
1930,0.030892
1940,0.030490
1950,0.031523
1960,0.035700
1970,0.032235
1980,0.032102
1990,0.032411
2000,0.034980
2010,0.034147
2020,0.034024
2030,0.035309
2040,0.037705
2050,0.034404
2060,0.034038
2070,0.037566
2080,0.034830
2090,0.035932
2100,0.035740
2110,0.040102
2120,0.035515
2130,0.037659
2140,0.041368
2150,0.037692
2160,0.037736
2170,0.040434
2180,0.039687
2190,0.040333
2200,0.041386
2210,0.041595
2220,0.039409
2230,0.043391
2240,0.044352
2250,0.043730
2260,0.044319
2270,0.041816
2280,0.041562
2290,0.045762
2300,0.042795
2310,0.043809
2320,0.046354
2330,0.046258
2340,0.044283
2350,0.050937
2360,0.044441
2370,0.046200
2380,0.049248
2390,0.046275
2400,0.046306
2410,0.050641
2420,0.047376
2430,0.048004
2440,0.051970
2450,0.049831
2460,0.048775
2470,0.054408
2480,0.048652
2490,0.056362
2500,0.049051
2510,0.052067
2520,0.055769
2530,0.053205
2540,0.056191
2550,0.052503
2560,0.054644
2570,0.057451
2580,0.052218
2590,0.058886
2600,0.054990
2610,0.056932
2620,0.058415
2630,0.056941
2640,0.057948
2650,0.056301
2660,0.060200
2670,0.059959
2680,0.059494
2690,0.058807
2700,0.061206
2710,0.059860
2720,0.060602
2730,0.062827
2740,0.062764
2750,0.063858
2760,0.062891
2770,0.067409
2780,0.060699
2790,0.068271
2800,0.062191
2810,0.066044
2820,0.063973
2830,0.068925
2840,0.064057
2850,0.070174
