n,t
500,0.004109
502,0.002379
504,0.001991
506,0.002000
508,0.002023
510,0.002040
512,0.019996
514,0.002113
516,0.002359
518,0.002208
520,0.002050
522,0.002106
524,0.002130
526,0.002168
528,0.002242
530,0.002479
532,0.002672
534,0.002417
536,0.002717
538,0.002633
540,0.002499
542,0.002491
544,0.002535
546,0.002647
548,0.003085
550,0.002794
552,0.002820
554,0.002499
556,0.002698
558,0.002732
560,0.002747
562,0.002811
564,0.002829
566,0.002500
568,0.002517
570,0.002524
572,0.002575
574,0.002606
576,0.002862
578,0.002958
580,0.003114
582,0.003081
584,0.003069
586,0.003501
588,0.002953
590,0.003122
592,0.003339
594,0.003167
596,0.002703
598,0.002774
600,0.002989
602,0.002858
604,0.002822
606,0.003386
608,0.002872
610,0.003102
612,0.002929
614,0.002916
616,0.002925
618,0.003631
620,0.003950
622,0.003668
624,0.003747
626,0.003305
628,0.003403
630,0.003362
632,0.004115
634,0.003119
636,0.003370
638,0.003148
640,0.003199
642,0.003206
644,0.003436
646,0.003487
648,0.003226
650,0.003364
652,0.003252
654,0.003777
656,0.003883
658,0.003711
660,0.003690
662,0.003821
664,0.003937
666,0.004277
668,0.004288
670,0.003946
672,0.003539
674,0.003921
676,0.004026
678,0.003831
680,0.003530
682,0.003495
684,0.003554
686,0.003671
688,0.004073
690,0.004011
692,0.004554
694,0.004182
696,0.004797
698,0.004430
700,0.004235
702,0.003801
704,0.004091
706,0.004631
708,0.004265
710,0.003877
712,0.003847
714,0.004945
716,0.005175
718,0.004564
720,0.004405
722,0.004374
724,0.004733
726,0.004593
728,0.004055
730,0.004100
732,0.004669
734,0.004434
736,0.004520
738,0.004646
740,0.004218
742,0.004579
744,0.005002
746,0.004790
748,0.005103
750,0.005111
752,0.005546
754,0.004900
756,0.004628
758,0.004344
760,0.005199
762,0.004510
764,0.005140
766,0.004607
768,0.006000
770,0.006179
772,0.005943
774,0.004939
776,0.004874
778,0.004875
780,0.004675
782,0.004646
784,0.005701
786,0.004893
788,0.005778
790,0.005583
792,0.005324
794,0.005247
796,0.005275
798,0.006962
800,0.005202
802,0.004909
804,0.004851
806,0.005136
808,0.005051
810,0.005367
812,0.005191
814,0.006331
816,0.005604
818,0.005560
820,0.006112
822,0.006807
824,0.005419
826,0.005667
828,0.005618
830,0.005541
832,0.005303
834,0.006459
836,0.006506
