n,t
500,0.003157
502,0.002030
504,0.002065
506,0.002163
508,0.002138
510,0.002338
512,0.002080
514,0.002221
516,0.002340
518,0.002455
520,0.002247
522,0.002288
524,0.002173
526,0.002206
528,0.002256
530,0.002187
532,0.002215
534,0.002524
536,0.002252
538,0.002519
540,0.002629
542,0.002542
544,0.002531
546,0.002594
548,0.002585
550,0.003128
552,0.003162
554,0.003337
556,0.002776
558,0.002490
560,0.002904
562,0.002904
564,0.003173
566,0.003001
568,0.002838
570,0.002468
572,0.002535
574,0.002599
576,0.003122
578,0.003244
580,0.002992
582,0.002878
584,0.002687
586,0.003163
588,0.003136
590,0.003263
592,0.003555
594,0.003024
596,0.003224
598,0.003280
600,0.003141
602,0.002825
604,0.002899
606,0.003038
608,0.002901
610,0.003170
612,0.003058
614,0.003253
616,0.003079
618,0.003409
620,0.002918
622,0.002975
624,0.003503
626,0.004022
628,0.003992
630,0.003401
632,0.003496
634,0.003636
636,0.003722
638,0.003402
640,0.003528
642,0.003235
644,0.003428
646,0.003397
648,0.003215
650,0.003192
652,0.003861
654,0.003406
656,0.003674
658,0.003857
660,0.003889
662,0.003982
664,0.004565
666,0.004559
668,0.003680
670,0.003675
672,0.003506
674,0.003693
676,0.003613
678,0.003711
680,0.003564
682,0.003506
684,0.003742
686,0.004435
688,0.004021
690,0.004321
692,0.004083
694,0.004163
696,0.003857
698,0.003717
700,0.004212
702,0.004017
704,0.003812
706,0.004041
708,0.004093
710,0.004312
712,0.004038
714,0.004546
716,0.005154
718,0.005235
720,0.004356
722,0.003949
724,0.004456
726,0.004444
728,0.004055
730,0.004079
732,0.004374
734,0.004909
736,0.004763
738,0.004454
740,0.004633
742,0.005190
744,0.005048
746,0.004472
748,0.004211
750,0.005867
752,0.004297
754,0.004978
756,0.004834
758,0.004430
760,0.004614
762,0.004406
764,0.004873
766,0.005296
768,0.004823
770,0.004539
772,0.004929
774,0.005751
776,0.004638
778,0.004860
780,0.004616
782,0.004689
784,0.004860
786,0.005801
788,0.006088
790,0.005858
792,0.005655
794,0.004874
796,0.005294
798,0.005047
800,0.004870
802,0.004797
804,0.004888
806,0.005216
808,0.005897
810,0.006300
812,0.006050
814,0.005654
816,0.005385
818,0.005412
820,0.005852
822,0.005174
824,0.005586
826,0.005824
828,0.006045
830,0.006222
832,0.006373
834,0.005896
836,0.005960
838,0.005559
840,0.006029
842,0.005585
844,0.005309
846,0.005783
848,0.006034
850,0.007120
852,0.006737
854,0.006608
856,0.006158
858,0.005853
860,0.006613
862,0.005762
