n,t
4,0.000023
8,0.000076
16,0.000227
32,0.000432
64,0.001308
128,0.003758
256,0.008594
512,0.017392
1024,0.051957
2048,0.168663
4096,0.505226
8192,1.554748
16384,4.702048
32700,8.343833
32768,14.535381
32800,8.591874
32900,8.282315
33000,8.281067
33100,8.266907
33200,8.428553
33300,8.361276
33400,8.595713
33500,8.419314
33600,8.495660
33700,8.502686
33800,8.614421
33900,8.612313
34000,8.698758
34100,8.804809
34200,8.840829
34300,8.880765
34400,8.968425
34500,8.987806
34600,9.107278
34700,9.094495
34800,9.144955
34900,9.234541
35000,9.289470
35100,9.320957
35200,9.455439
35300,9.499559
35400,9.573882
35500,9.555580
35600,9.630563
35700,9.748459
35800,9.789203
35900,9.852995
36000,9.911687
36100,9.909447
36200,10.024729
36300,10.079395
36400,10.163529
36500,10.211481
36600,10.291484
36700,10.297974
36800,10.793294
36900,10.388328
37000,10.527181
37100,10.616510
37200,10.664500
37500,11.186451
38000,11.811698
38500,11.533253
39000,11.937660
39500,12.296278
40000,12.690215
40500,13.045466
41000,13.369312
41500,13.621406
42000,14.340142
42500,14.421743
43000,14.864543
43500,15.137420
44000,15.581652
44500,15.916709
45000,16.387827
45500,16.683679
46000,17.276006
46500,17.498686
47000,17.998583
47500,18.400343
48000,18.922646
48500,19.247231
49000,19.764467
49500,20.108902
50000,20.679374
50500,20.921988
51000,21.592151
51500,21.791983
52000,22.455444
52500,22.843208
53000,23.446065
53500,23.749115
54000,24.433572
54500,24.647466
55000,25.233403
55500,25.579442
56000,26.420651
56500,26.707830
57000,27.325075
57500,27.682538
58000,28.489057
58500,28.591577
59000,29.365928
59500,29.777163
60000,30.511604
60500,30.880758
61000,31.502479
61500,31.856359
62000,32.695029
62500,32.899838
63000,33.718918
63500,33.975915
64000,35.718090
64500,35.259291
65000,35.990283
65500,36.315636
65536,45.490798
131072,141.382048
262144,442.894169

66000,37.584613
67000,40.034481
68000,39.554149
69000,40.913512
70000,41.787350
71000,43.693090
72000,44.301510
73000,45.976942
74000,46.841733
75000,48.594965
76000,49.638116
77000,51.139216
78000,52.378039
79000,54.223263
80000,55.336740
81000,57.018048
82000,57.883247
83000,59.835451
84000,61.101395
85000,62.767848
86000,63.819906
87000,65.991154
88000,66.887878
89000,68.940153
90000,69.994004
91000,71.982877
92000,73.247163
93000,75.339544
94000,76.419478
95000,78.945338
96000,79.679530
97000,82.118030
98000,82.984431
99000,85.361812
100000,86.731439
