n,t
500,0.004755
502,0.002191
504,0.002219
506,0.002214
508,0.002265
510,0.002231
512,0.002368
514,0.002399
516,0.002386
518,0.002334
520,0.002392
522,0.002387
524,0.002437
526,0.002394
528,0.002441
530,0.002717
532,0.002840
534,0.002720
536,0.002871
538,0.002734
540,0.002813
542,0.002782
544,0.003366
546,0.003082
548,0.003016
550,0.002970
552,0.002839
554,0.002765
556,0.003026
558,0.002784
560,0.003198
562,0.003640
564,0.002905
566,0.002781
568,0.002823
570,0.002813
572,0.002879
574,0.002834
576,0.003214
578,0.003091
580,0.003438
582,0.003216
584,0.003659
586,0.003599
588,0.003046
590,0.003752
592,0.003437
594,0.003063
596,0.003153
598,0.003125
600,0.003351
602,0.003146
604,0.003824
606,0.003165
608,0.003332
610,0.003330
612,0.003343
614,0.003243
616,0.003488
618,0.004053
620,0.004041
622,0.004114
624,0.003886
626,0.003739
628,0.003916
630,0.004233
632,0.003689
634,0.003533
636,0.003798
638,0.003508
640,0.003613
642,0.004153
644,0.003966
646,0.003589
648,0.003683
650,0.003619
652,0.003735
654,0.004566
656,0.004250
658,0.004136
660,0.004255
662,0.004217
664,0.004767
666,0.003835
668,0.004687
670,0.004061
672,0.004151
674,0.004133
676,0.004229
678,0.003937
680,0.004038
682,0.003992
684,0.004096
686,0.004950
688,0.004569
690,0.004613
692,0.004730
694,0.004229
696,0.004900
698,0.004888
700,0.004236
702,0.004255
704,0.004986
706,0.004650
708,0.004370
710,0.004330
712,0.004922
714,0.005657
716,0.004961
718,0.004960
720,0.005204
722,0.004504
724,0.005512
726,0.004930
728,0.004590
730,0.004923
732,0.004662
734,0.005381
736,0.004787
738,0.004912
740,0.004760
742,0.005636
744,0.005673
746,0.006024
748,0.005424
750,0.005740
752,0.005943
754,0.004895
756,0.005237
758,0.005131
760,0.005313
762,0.005271
764,0.005103
766,0.005531
768,0.006497
770,0.006330
772,0.005769
774,0.005599
776,0.005606
778,0.005413
780,0.005279
782,0.005835
784,0.005579
786,0.005444
788,0.006434
790,0.006795
792,0.006120
794,0.006312
796,0.005902
798,0.005663
800,0.005796
802,0.005470
804,0.005613
806,0.006028
808,0.006315
810,0.005659
812,0.006346
814,0.006639
816,0.006952
818,0.005858
820,0.007700
822,0.005827
824,0.006545
826,0.006106
828,0.006008
830,0.006089
832,0.006521
834,0.007234
836,0.006952
838,0.006044
840,0.007012
842,0.006040
844,0.006450
846,0.006142
848,0.006497
850,0.006446
852,0.006928
854,0.008427
856,0.007048
858,0.007164
860,0.006421
862,0.007388
864,0.006877
866,0.006459
868,0.008106
870,0.006486
872,0.006918
874,0.007263
876,0.008023
878,0.006900
880,0.008021
882,0.007506
884,0.006848
886,0.006708
888,0.008321
890,0.007091
892,0.007653
894,0.008182
896,0.007335
898,0.006904
900,0.006995
902,0.007723
904,0.007348
906,0.006974
908,0.008564
910,0.007868
912,0.008155
914,0.007537
916,0.007868
918,0.008093
920,0.007408
922,0.007242
924,0.007919
926,0.008524
928,0.008443
930,0.009860
932,0.007940
934,0.008460
936,0.009986
938,0.008608
940,0.009265
942,0.010191
944,0.008704
946,0.007549
948,0.008710
950,0.008134
952,0.007855
954,0.008733
956,0.009330
958,0.009027
960,0.009111
962,0.008081
964,0.008040
966,0.008299
968,0.008804
970,0.008024
972,0.009020
974,0.009023
976,0.008446
978,0.008622
980,0.009228
982,0.008682
984,0.008477
986,0.008327
988,0.009711
990,0.009585
992,0.010318
994,0.008903
996,0.008572
998,0.010088
1000,0.008917
1002,0.009659
1004,0.011081
1006,0.009496
1008,0.010274
1010,0.009051
1012,0.008896
1014,0.009434
1016,0.008884
1018,0.010485
1020,0.010990
1022,0.009045
1024,0.009063
1026,0.009879
1028,0.011673
1030,0.009613
1032,0.009273
1034,0.009528
1036,0.009594
1038,0.010007
1040,0.010641
1042,0.010522
1044,0.009850
1046,0.010227
1048,0.009941
1050,0.009347
1052,0.010321
1054,0.010559
1056,0.010942
1058,0.010383
1060,0.009978
1062,0.009826
1064,0.010306
1066,0.010332
1068,0.011644
1070,0.010785
1072,0.010581
1074,0.010249
1076,0.010390
1078,0.011092
1080,0.012448
1082,0.012082
1084,0.010854
1086,0.010542
1088,0.011016
1090,0.010208
1092,0.011787
1094,0.011775
1096,0.012541
1098,0.011992
1100,0.010520
1102,0.010312
1104,0.011867
1106,0.012808
1108,0.012299
1110,0.011034
1112,0.011224
1114,0.011673
1116,0.011611
1118,0.013206
1120,0.011846
1122,0.011631
1124,0.012151
1126,0.011650
1128,0.011527
1130,0.013165
1132,0.012506
1134,0.013040
1136,0.011893
1138,0.012158
1140,0.014739
1142,0.013887
1144,0.011937
1146,0.013153
1148,0.015170
1150,0.012869
1152,0.014699
1154,0.012051
1156,0.012169
1158,0.012001
1160,0.014031
1162,0.014795
1164,0.014467
1166,0.012375
1168,0.013185
1170,0.013714
1172,0.012749
1174,0.015022
1176,0.015221
1178,0.014684
1180,0.013037
1182,0.014258
1184,0.017047
1186,0.013056
1188,0.013141
1190,0.013026
1192,0.014442
1194,0.015665
1196,0.015483
1198,0.014575
1200,0.014433
1202,0.018183
1204,0.016930
1206,0.013601
1208,0.014357
1210,0.014116
1212,0.016854
1214,0.014083
1216,0.014554
1218,0.014528
1220,0.014122
1222,0.016055
1224,0.014803
1226,0.013816
1228,0.013907
1230,0.015668
1232,0.015964
1234,0.014012
1236,0.016480
