n,t
500,0.002288
502,0.002204
504,0.002678
506,0.002414
508,0.002340
510,0.002378
512,0.002314
514,0.003177
516,0.002699
518,0.002445
520,0.002436
522,0.002428
524,0.002478
526,0.002424
528,0.002448
530,0.002455
532,0.002751
534,0.002660
536,0.002546
538,0.002785
540,0.002856
542,0.002802
544,0.002853
546,0.003252
548,0.003532
550,0.003205
552,0.003350
554,0.003150
556,0.003000
558,0.002976
560,0.003211
562,0.003433
564,0.003087
566,0.002948
568,0.003018
570,0.002827
572,0.002890
574,0.003138
576,0.003547
578,0.003443
580,0.003132
582,0.003066
584,0.002987
586,0.003300
588,0.003333
590,0.004023
592,0.003830
594,0.003421
596,0.003636
598,0.003467
600,0.003157
602,0.003208
604,0.003637
606,0.003196
608,0.003453
610,0.003293
612,0.003654
614,0.003639
616,0.003635
618,0.003435
620,0.003337
622,0.003861
624,0.004237
626,0.004191
628,0.004086
630,0.003594
632,0.003842
634,0.004079
636,0.003917
638,0.003593
640,0.003966
642,0.003617
644,0.004013
646,0.003768
648,0.003697
650,0.003656
652,0.004211
654,0.003926
656,0.004331
658,0.004208
660,0.004305
662,0.004507
664,0.004966
666,0.004025
668,0.004341
670,0.004007
672,0.003982
674,0.004241
676,0.004188
678,0.004051
680,0.004013
682,0.004000
684,0.005046
686,0.004510
688,0.004672
690,0.004683
692,0.004552
694,0.004691
696,0.004206
698,0.004352
700,0.004797
702,0.004367
704,0.004786
706,0.004459
708,0.004557
710,0.004849
712,0.004801
714,0.005414
716,0.005362
718,0.004685
720,0.004576
722,0.004511
724,0.005553
726,0.004929
728,0.004646
730,0.004899
732,0.005418
734,0.005311
736,0.005338
738,0.005299
740,0.005412
742,0.005533
744,0.005052
746,0.004775
748,0.005335
750,0.004851
752,0.005160
754,0.005684
756,0.004978
758,0.005583
760,0.005129
762,0.005498
764,0.005711
766,0.005827
768,0.005222
770,0.005139
772,0.006016
774,0.006409
776,0.005297
778,0.005284
780,0.005293
782,0.005707
784,0.005942
786,0.006874
788,0.005507
790,0.006401
792,0.005922
794,0.005923
796,0.006191
798,0.005569
800,0.005709
802,0.005491
804,0.006146
806,0.006290
808,0.006425
810,0.005824
812,0.006396
814,0.006045
816,0.005937
818,0.006692
820,0.006337
822,0.006398
824,0.006062
826,0.006368
828,0.006722
830,0.007116
832,0.007027
834,0.006395
836,0.006066
838,0.008179
840,0.006349
842,0.006170
844,0.006220
846,0.007143
848,0.007320
850,0.007652
852,0.007343
854,0.006923
856,0.006426
858,0.007043
860,0.006616
862,0.006464
864,0.007907
866,0.007193
868,0.007121
870,0.006518
872,0.007458
874,0.007843
876,0.006656
878,0.008014
880,0.007477
882,0.007447
884,0.007064
886,0.007168
888,0.006841
890,0.007147
892,0.007630
894,0.007130
896,0.007776
898,0.007747
900,0.007813
902,0.009841
904,0.007051
906,0.007875
908,0.008874
910,0.007064
912,0.007639
914,0.008069
916,0.008206
918,0.008941
920,0.008497
922,0.007710
924,0.007409
926,0.008249
928,0.007607
930,0.007474
932,0.008759
934,0.008416
936,0.007771
938,0.008334
940,0.007841
942,0.007680
944,0.009090
946,0.007785
948,0.008639
950,0.008932
952,0.007849
954,0.008646
956,0.009117
958,0.007931
960,0.008636
962,0.008885
964,0.009485
966,0.008712
968,0.008662
970,0.008409
972,0.008285
974,0.007995
976,0.009782
978,0.009717
980,0.009371
982,0.009391
984,0.008612
986,0.008811
988,0.008541
990,0.008430
992,0.010058
994,0.009336
996,0.009968
998,0.008504
1000,0.008855
1002,0.009820
1004,0.009271
1006,0.010137
1008,0.009313
1010,0.008743
1012,0.009093
1014,0.008857
1016,0.010456
1018,0.009161
1020,0.010259
1022,0.009168
1024,0.009111
1026,0.009822
1028,0.010126
1030,0.009379
1032,0.010452
1034,0.010509
1036,0.009524
1038,0.010278
1040,0.009606
1042,0.009153
1044,0.012247
1046,0.011567
1048,0.010858
1050,0.010129
1052,0.010211
1054,0.009618
1056,0.010062
1058,0.011811
1060,0.010375
1062,0.010177
1064,0.009881
1066,0.010399
1068,0.010013
1070,0.011508
1072,0.010472
1074,0.010923
1076,0.010017
1078,0.010206
1080,0.011624
1082,0.012349
1084,0.012294
1086,0.011789
1088,0.013560
1090,0.011974
1092,0.014849
