n,t
4,0.000003
8,0.000004
16,0.000009
32,0.000025
64,0.000078
128,0.000259
256,0.000524
512,0.002500
1024,0.008976
2048,0.036095
4096,0.158443
8192,0.622220
16384,2.405063
32700,10.969837
32768,9.784639
32800,10.214118
32900,11.157120
33000,10.689211
33100,10.019855
33200,10.033422
33300,10.003744
33400,10.238360
33500,10.197775
33600,10.298497
33700,10.787165
33800,10.966025
33900,10.417208
34000,10.349164
34100,10.566622
34200,10.503091
34300,10.768550
34400,10.940124
34500,11.354984
34600,11.523630
34700,10.995079
34800,10.894574
34900,11.108000
35000,11.056160
35100,11.374863
35200,11.716235
35300,12.273499
35400,12.198570
35500,11.588771
35600,11.472205
35700,11.710606
35800,11.674839
35900,12.037806
36000,12.236128
36100,12.761922
36200,13.011297
36300,12.227038
36400,12.107226
36500,12.256730
36600,12.680411
36700,12.609951
36800,13.003867
36900,13.376653
37000,13.767285
37100,12.921231
37200,12.897776
37500,14.604926
38000,14.554853
38500,15.772691
39000,16.538648
39500,15.437212
40000,15.495577
40500,16.117840
41000,16.035655
41500,16.981889
42000,19.057615
42500,19.733489
43000,20.716691
43500,18.823685
44000,18.803275
44500,19.620097
45000,19.686732
45500,21.025943
46000,22.669359
46500,24.579762
47000,25.621254
47500,23.093680
48000,22.955428
48500,23.960363
49000,23.898580
49500,25.549592
50000,27.489819
50500,29.978135
51000,31.284522
51500,27.548238
52000,27.463102
52500,28.575090
53000,28.431902
53500,30.366623
54000,32.952733
54500,35.858251
55000,37.101615
55500,32.451605
56000,32.301090
56500,33.507423
57000,33.347448
57500,35.509075
58000,38.583065
58500,41.936821
59000,43.504658
59500,37.578949
60000,37.434395
60500,38.844163
61000,38.539672
61500,40.968683
62000,44.571528
62500,48.489468
63000,50.281832
63500,43.293316
64000,43.069986
64500,44.386759
65000,44.162212
65500,46.792815
65536,46.340932
131072,195.245456
262144,864.008171

66000,52.368068
67000,52.890995
68000,58.499231
69000,61.709662
70000,52.908478
71000,54.004095
72000,56.329109
73000,56.794150
74000,60.432810
75000,67.251887
76000,73.960266
77000,77.171361
78000,66.341514
79000,67.555728
80000,70.311242
81000,70.833564
82000,74.747205
83000,83.317826
84000,91.135466
85000,95.197247
86000,80.866111
87000,82.221222
88000,85.230003
89000,85.963002
90000,90.535635
91000,100.740749
92000,109.664508
93000,114.490151
94000,96.710937
95000,98.601283
96000,101.698402
97000,102.199153
98000,107.349416
99000,119.782184
100000,130.163260
