n,t
10,0.000010
20,0.000018
30,0.000029
40,0.000043
50,0.000062
60,0.000089
70,0.000112
80,0.000144
90,0.000179
100,0.000224
110,0.000269
120,0.000303
130,0.000356
140,0.000341
150,0.000396
160,0.000450
170,0.000510
180,0.000552
190,0.000616
200,0.000671
210,0.000702
220,0.000574
230,0.000556
240,0.000515
250,0.000543
260,0.000553
270,0.000579
280,0.000623
290,0.000655
300,0.000704
310,0.000754
320,0.000799
330,0.000833
340,0.000893
350,0.000940
360,0.000990
370,0.001056
380,0.001212
390,0.001283
400,0.001286
410,0.001310
420,0.001397
430,0.001462
440,0.001739
450,0.002000
460,0.002025
470,0.002081
480,0.002144
490,0.002189
500,0.002657
510,0.002226
520,0.002500
530,0.002406
540,0.002398
550,0.002494
560,0.002749
570,0.002936
580,0.002745
590,0.002845
600,0.003225
610,0.003133
620,0.003702
630,0.003215
640,0.003711
650,0.003603
660,0.003545
670,0.003918
680,0.004193
690,0.004233
700,0.004461
710,0.004498
720,0.004155
730,0.004293
740,0.004929
750,0.005116
760,0.004639
770,0.004951
780,0.004934
790,0.005015
800,0.005129
810,0.005254
820,0.006172
830,0.007162
840,0.005763
850,0.005822
860,0.005906
870,0.006044
880,0.006323
890,0.007179
900,0.006442
910,0.007490
920,0.006670
930,0.007021
940,0.007050
950,0.008194
960,0.008589
970,0.009725
980,0.008792
990,0.008503
1000,0.008529
1010,0.008396
1020,0.008330
1030,0.008476
1040,0.008585
1050,0.009229
1060,0.009163
1070,0.009207
1080,0.010050
1090,0.011546
1100,0.011864
1110,0.012241
1120,0.011520
1130,0.010570
1140,0.010812
1150,0.011138
1160,0.010933
1170,0.013208
1180,0.012874
1190,0.012837
1200,0.014398
1210,0.013141
1220,0.013929
1230,0.013533
1240,0.013802
1250,0.012934
1260,0.013255
1270,0.013669
1280,0.016132
1290,0.016726
1300,0.016369
1310,0.018678
1320,0.016305
1330,0.014850
1340,0.014941
1350,0.015449
1360,0.018130
1370,0.017660
1380,0.016395
1390,0.016719
1400,0.016173
1410,0.016350
1420,0.018499
1430,0.019729
1440,0.017572
1450,0.018347
1460,0.018036
1470,0.018558
1480,0.019340
1490,0.020628
1500,0.020069
1510,0.020279
1520,0.020133
1530,0.020416
1540,0.020168
1550,0.022166
1560,0.020980
1570,0.021349
1580,0.022682
1590,0.021700
1600,0.024116
1610,0.023047
1620,0.023542
1630,0.023124
1640,0.022072
1650,0.024963
1660,0.024982
1670,0.023129
1680,0.023293
1690,0.023813
1700,0.027742
1710,0.024505
1720,0.024119
1730,0.024598
1740,0.026170
1750,0.027796
1760,0.026416
1770,0.026673
1780,0.027161
1790,0.029835
1800,0.026145
1810,0.026879
1820,0.029300
1830,0.029365
1840,0.030841
1850,0.029197
1860,0.028557
1870,0.031318
1880,0.031511
1890,0.029598
1900,0.029245
1910,0.032421
1920,0.031668
1930,0.029988
1940,0.030428
1950,0.035628
1960,0.032122
1970,0.031629
1980,0.033154
1990,0.036374
2000,0.032311
2010,0.034363
2020,0.034248
2030,0.036886
2040,0.037162
2050,0.034328
2060,0.039029
2070,0.035449
2080,0.035246
2090,0.036871
2100,0.038148
2110,0.035915
2120,0.040907
2130,0.039490
2140,0.039010
2150,0.039648
2160,0.040048
2170,0.040563
2180,0.040447
2190,0.040640
2200,0.040410
2210,0.042520
2220,0.042554
2230,0.040479
2240,0.045525
2250,0.041241
2260,0.041640
2270,0.046866
2280,0.042248
2290,0.044739
2300,0.047682
2310,0.045680
2320,0.043248
2330,0.049427
2340,0.044223
2350,0.046002
2360,0.049165
2370,0.046814
2380,0.046881
2390,0.051603
2400,0.048369
2410,0.047667
2420,0.051467
2430,0.049239
2440,0.049582
2450,0.052266
2460,0.049225
2470,0.053454
2480,0.050998
2490,0.052221
2500,0.052381
2510,0.052257
2520,0.054541
2530,0.054227
2540,0.053604
2550,0.054938
2560,0.052103
2570,0.056655
2580,0.055126
2590,0.059495
2600,0.054362
2610,0.059424
2620,0.058265
2630,0.058123
2640,0.058407
2650,0.059771
2660,0.058793
2670,0.060891
2680,0.059799
2690,0.062055
2700,0.058149
2710,0.064034
2720,0.066890
2730,0.063165
2740,0.061712
2750,0.064770
2760,0.061518
2770,0.064428
2780,0.063276
2790,0.067883
2800,0.063879
2810,0.067955
2820,0.065452
2830,0.069877
2840,0.065834
2850,0.068600
2860,0.066909
2870,0.071181
2880,0.067271
2890,0.071965
2900,0.069194
2910,0.071711
2920,0.070472
2930,0.073986
2940,0.070122
2950,0.077312
2960,0.074115
2970,0.077304
2980,0.072006
2990,0.077825
3000,0.075706
3010,0.081590
3020,0.073911
3030,0.079584
3040,0.077088
3050,0.079418
3060,0.077890
3070,0.081043
3080,0.078697
3090,0.083302
3100,0.080244
3110,0.081994
3120,0.079509
3130,0.085566
3140,0.081469
3150,0.085300
3160,0.080474
3170,0.084141
3180,0.082746
3190,0.086780
3200,0.084109
3210,0.087879
3220,0.086065
3230,0.088715
3240,0.087082
3250,0.089979
3260,0.088298
3270,0.091440
3280,0.088431
3290,0.094707
3300,0.090022
3310,0.094677
3320,0.091585
3330,0.095509
3340,0.092504
3350,0.096314
3360,0.090456
3370,0.095900
3380,0.093412
3390,0.104756
3400,0.102391
3410,0.103979
3420,0.101587
3430,0.100176
3440,0.100607
3450,0.103185
3460,0.098093
3470,0.102669
3480,0.098968
3490,0.103476
3500,0.101627
3510,0.102494
3520,0.104374
3530,0.105575
3540,0.103285
3550,0.108196
3560,0.107034
3570,0.104519
3580,0.111791
3590,0.111596
3600,0.111688
3610,0.109250
3620,0.113124
3630,0.112301
3640,0.110399
3650,0.112318
3660,0.113163
3670,0.117185
3680,0.112088
3690,0.115212
3700,0.120479
3710,0.119178
3720,0.116664
3730,0.114980
3740,0.121495
3750,0.118634
3760,0.119937
3770,0.120412
3780,0.123155
3790,0.123161
3800,0.122712
3810,0.123639
3820,0.125082
3830,0.124965
3840,0.124384
3850,0.126057
3860,0.126920
3870,0.133172
3880,0.126727
3890,0.127568
3900,0.133499
3910,0.130706
3920,0.128557
3930,0.130937
3940,0.133247
3950,0.132999
3960,0.134546
3970,0.135079
3980,0.135065
3990,0.136270
4000,0.135764
4010,0.135776
4020,0.137957
4030,0.139680
4040,0.138348
4050,0.139441
4060,0.142057
4070,0.143278
4080,0.142121
4090,0.142012
4100,0.145311
4110,0.143109
4120,0.151272
4130,0.145321
4140,0.146297
4150,0.149078
4160,0.147043
4170,0.147628
4180,0.151615
4190,0.150270
4200,0.149511
4210,0.150209
4220,0.155092
4230,0.153126
4240,0.158788
4250,0.154415
4260,0.157013
4270,0.156693
4280,0.158698
4290,0.153984
4300,0.159643
4310,0.159344
4320,0.156958
4330,0.158554
4340,0.162182
4350,0.163293
4360,0.162631
4370,0.160649
4380,0.168348
4390,0.165297
4400,0.167877
4410,0.183494
4420,0.170579
4430,0.170201
4440,0.168087
4450,0.166844
4460,0.172148
4470,0.175325
4480,0.169693
4490,0.172051
4500,0.175779
4510,0.174851
4520,0.172832
4530,0.172492
4540,0.178609
4550,0.175829
4560,0.185414
4570,0.178340
4580,0.181164
4590,0.185309
4600,0.179820
4610,0.179950
4620,0.182935
4630,0.183097
4640,0.182776
4650,0.182866
4660,0.186229
4670,0.187015
4680,0.187204
4690,0.186212
4700,0.188828
4710,0.187818
4720,0.186251
4730,0.192101
4740,0.193857
4750,0.195478
4760,0.192211
4770,0.190417
4780,0.194052
4790,0.199079
4800,0.192516
4810,0.194628
4820,0.201554
4830,0.199400
4840,0.206150
4850,0.197958
