n,t
10,0.000000
20,0.000000
30,0.000000
40,0.000000
50,0.000000
60,0.000000
70,0.000000
80,0.000000
90,0.000000
100,0.000000
110,0.000000
120,0.000000
130,0.000000
140,0.000000
150,0.000000
160,0.001000
170,0.000000
180,0.001000
190,0.000000
200,0.000000
210,0.000000
220,0.001000
230,0.001000
240,0.001000
250,0.001000
260,0.001000
270,0.000000
280,0.001000
290,0.001000
300,0.001000
310,0.001000
320,0.003000
330,0.002000
340,0.002000
350,0.001000
360,0.002000
370,0.002000
380,0.002000
390,0.002000
400,0.001000
410,0.003000
420,0.003000
430,0.003000
440,0.002000
450,0.003000
460,0.003000
470,0.004000
480,0.003000
490,0.003000
500,0.003000
510,0.005000
520,0.004000
530,0.004000
540,0.005000
550,0.004000
560,0.005000
570,0.005000
580,0.004000
590,0.006000
600,0.006000
610,0.006000
620,0.005000
630,0.006000
640,0.005000
650,0.006000
660,0.007000
670,0.007000
680,0.007000
690,0.007000
700,0.010000
710,0.006000
720,0.010000
730,0.008000
740,0.009000
750,0.012000
760,0.013000
770,0.010000
780,0.010000
790,0.008000
800,0.009000
810,0.010000
820,0.009000
830,0.011000
840,0.010000
850,0.011000
860,0.009000
870,0.012000
880,0.010000
890,0.012000
900,0.011000
910,0.010000
920,0.013000
930,0.012000
940,0.013000
950,0.016000
960,0.013000
970,0.013000
980,0.015000
990,0.013000
1000,0.015000
1010,0.014000
1020,0.014000
1030,0.016000
1040,0.015000
1050,0.016000
1060,0.017000
1070,0.015000
1080,0.017000
1090,0.016000
1100,0.017000
1110,0.018000
1120,0.019000
1130,0.019000
1140,0.021000
1150,0.027000
1160,0.020000
1170,0.044000
1180,0.035000
1190,0.031000
1200,0.023000
1210,0.030000
1220,0.022000
1230,0.021000
1240,0.025000
1250,0.035000
1260,0.039000
1270,0.025000
1280,0.028000
1290,0.029000
1300,0.024000
1310,0.024000
1320,0.032000
1330,0.026000
1340,0.027000
1350,0.027000
1360,0.026000
1370,0.027000
1380,0.027000
1390,0.027000
1400,0.032000
1410,0.028000
1420,0.027000
1430,0.030000
1440,0.028000
1450,0.030000
1460,0.054000
1470,0.043000
1480,0.039000
1490,0.031000
1500,0.033000
1510,0.032000
1520,0.034000
1530,0.033000
1540,0.045000
1550,0.043000
1560,0.034000
1570,0.035000
1580,0.037000
1590,0.039000
1600,0.039000
