n,t
10,0.000024
20,0.000036
30,0.000067
40,0.000121
50,0.000154
60,0.000206
70,0.000270
80,0.000310
90,0.000434
100,0.000532
110,0.000617
120,0.000497
130,0.000576
140,0.000657
150,0.000616
160,0.000547
170,0.000510
180,0.000539
190,0.000520
200,0.000563
210,0.000641
220,0.000662
230,0.000706
240,0.000768
250,0.000827
260,0.000955
270,0.000979
280,0.001116
290,0.001119
300,0.001171
310,0.001220
320,0.001292
330,0.001391
340,0.001439
350,0.001538
360,0.001604
370,0.001709
380,0.001778
390,0.001891
400,0.001974
410,0.002048
420,0.002359
430,0.002469
440,0.002772
450,0.002531
460,0.002539
470,0.002684
480,0.002745
490,0.002850
500,0.002997
510,0.003088
520,0.003209
530,0.003331
540,0.003457
550,0.003586
560,0.003846
570,0.004331
580,0.004164
590,0.004140
600,0.004731
610,0.005172
620,0.005225
630,0.005666
640,0.005916
650,0.006125
660,0.005570
670,0.006255
680,0.005726
690,0.005705
700,0.006200
710,0.005929
720,0.006864
730,0.006598
740,0.006599
750,0.006837
760,0.006888
770,0.006945
780,0.007426
790,0.007941
800,0.009027
810,0.009333
820,0.007973
830,0.009252
840,0.008416
850,0.008932
860,0.008778
870,0.008904
880,0.009681
890,0.009348
900,0.009784
910,0.009747
920,0.010975
930,0.012031
940,0.011383
950,0.012672
960,0.012897
970,0.012201
980,0.012859
990,0.012488
1000,0.012624
1010,0.013204
1020,0.014718
1030,0.014402
1040,0.014386
1050,0.013990
1060,0.014762
1070,0.014785
1080,0.014686
1090,0.015490
1100,0.016812
1110,0.016443
1120,0.015914
1130,0.016437
1140,0.015964
1150,0.016169
1160,0.017416
1170,0.018213
1180,0.018379
1190,0.017551
1200,0.017436
1210,0.017659
1220,0.018132
1230,0.020384
1240,0.019568
1250,0.019684
1260,0.019780
1270,0.019940
1280,0.021034
1290,0.022722
1300,0.021287
1310,0.021226
1320,0.021394
1330,0.022719
1340,0.023168
1350,0.022712
1360,0.022699
1370,0.023057
1380,0.024887
1390,0.024964
1400,0.023463
1410,0.023748
1420,0.025309
1430,0.027277
1440,0.025337
1450,0.025232
1460,0.025819
1470,0.026087
1480,0.028764
1490,0.027434
1500,0.027072
1510,0.027239
1520,0.030383
1530,0.029005
1540,0.030197
1550,0.030567
1560,0.032034
1570,0.029867
1580,0.030279
1590,0.032745
1600,0.033380
1610,0.031078
1620,0.031313
1630,0.034834
1640,0.032186
1650,0.032586
1660,0.033036
1670,0.036312
1680,0.033831
1690,0.033679
1700,0.034402
1710,0.037414
1720,0.035576
1730,0.035955
1740,0.038704
1750,0.036486
1760,0.037028
1770,0.039563
1780,0.037698
1790,0.039212
1800,0.040568
1810,0.038992
1820,0.041648
1830,0.040241
1840,0.039788
1850,0.043292
1860,0.041523
1870,0.041709
1880,0.044310
1890,0.042645
1900,0.042882
1910,0.046019
1920,0.043838
1930,0.043587
1940,0.048157
1950,0.044638
1960,0.045407
1970,0.048682
1980,0.045856
1990,0.046698
2000,0.051389
2010,0.047411
2020,0.048239
2030,0.053700
2040,0.048786
2050,0.049525
2060,0.054484
2070,0.050141
2080,0.054803
2090,0.051273
2100,0.052754
2110,0.055671
2120,0.052558
2130,0.057526
2140,0.053786
2150,0.055658
2160,0.056842
2170,0.056741
2180,0.056633
2190,0.057784
2200,0.058017
2210,0.059027
2220,0.058352
2230,0.060574
2240,0.059046
2250,0.061683
2260,0.060583
2270,0.063169
2280,0.062369
2290,0.064099
2300,0.063141
2310,0.065708
2320,0.063492
2330,0.066870
2340,0.064152
2350,0.068071
2360,0.065570
2370,0.068513
2380,0.066529
2390,0.070378
2400,0.067511
2410,0.071639
2420,0.068369
2430,0.072204
2440,0.069310
2450,0.073997
2460,0.070177
2470,0.074657
2480,0.072168
2490,0.075369
2500,0.072992
2510,0.077781
2520,0.074232
2530,0.078081
2540,0.075689
2550,0.079071
2560,0.076463
2570,0.080494
2580,0.078351
2590,0.082160
2600,0.079664
2610,0.082682
2620,0.080312
2630,0.084513
2640,0.081061
2650,0.084413
2660,0.083141
2670,0.087278
2680,0.084220
2690,0.087616
2700,0.085630
2710,0.089597
2720,0.086972
2730,0.089721
2740,0.088165
2750,0.092000
2760,0.089270
2770,0.094592
2780,0.090549
2790,0.093372
2800,0.091780
2810,0.095281
2820,0.093097
2830,0.096174
2840,0.093657
2850,0.098241
2860,0.095569
2870,0.099527
2880,0.096355
2890,0.101174
2900,0.097540
2910,0.101073
2920,0.099616
2930,0.103748
2940,0.104082
2950,0.101767
2960,0.105256
2970,0.106881
2980,0.103739
2990,0.107219
3000,0.107560
3010,0.106886
3020,0.108240
3030,0.110068
3040,0.108554
3050,0.111786
3060,0.112257
3070,0.112323
3080,0.113913
3090,0.112730
3100,0.114450
3110,0.115776
3120,0.117012
3130,0.118612
3140,0.118833
3150,0.118504
3160,0.119616
3170,0.119856
3180,0.119282
3190,0.121449
