n,t
10,0.000009
20,0.000018
30,0.000030
40,0.000043
50,0.000065
60,0.000089
70,0.000130
80,0.000139
90,0.000183
100,0.000243
110,0.000286
120,0.000314
130,0.000358
140,0.000409
150,0.000479
160,0.000531
170,0.000589
180,0.000658
190,0.000737
200,0.000476
210,0.000522
220,0.000434
230,0.000430
240,0.000460
250,0.000514
260,0.000531
270,0.000568
280,0.000616
290,0.000655
300,0.000712
310,0.000739
320,0.000790
330,0.000840
340,0.000896
350,0.000942
360,0.000994
370,0.001071
380,0.001111
390,0.001170
400,0.001240
410,0.001308
420,0.001399
430,0.001450
440,0.001544
450,0.001600
460,0.001686
470,0.001751
480,0.002000
490,0.002170
500,0.002292
510,0.002148
520,0.002223
530,0.002308
540,0.002469
550,0.002518
560,0.002592
570,0.002671
580,0.002754
590,0.002922
600,0.002934
610,0.003015
620,0.003155
630,0.003222
640,0.003859
650,0.004229
660,0.003537
670,0.003585
680,0.003777
690,0.004250
700,0.004422
710,0.004487
720,0.004999
730,0.005365
740,0.005531
750,0.004846
760,0.005809
770,0.005037
780,0.005352
790,0.005051
800,0.005116
810,0.005590
820,0.005932
830,0.005550
840,0.005909
850,0.005777
860,0.005987
870,0.006062
880,0.006723
890,0.006764
900,0.007212
910,0.008596
920,0.007992
930,0.007170
940,0.008277
950,0.007595
960,0.007371
970,0.007500
980,0.007627
990,0.007771
1000,0.008756
1010,0.008317
1020,0.008344
1030,0.009037
1040,0.010476
1050,0.010867
1060,0.009042
1070,0.009351
1080,0.009345
1090,0.009885
1100,0.009742
1110,0.009828
1120,0.009933
1130,0.011276
1140,0.010954
1150,0.012055
1160,0.012598
1170,0.011706
1180,0.011598
1190,0.011679
1200,0.012037
1210,0.013978
1220,0.013344
1230,0.013209
1240,0.013972
1250,0.014599
1260,0.013689
1270,0.013408
1280,0.013809
1290,0.014424
1300,0.015005
1310,0.015123
1320,0.016244
1330,0.015306
1340,0.014929
1350,0.016105
1360,0.015648
1370,0.015400
1380,0.015585
1390,0.017865
1400,0.016616
1410,0.017350
1420,0.016676
1430,0.017533
1440,0.017691
1450,0.018574
1460,0.019669
1470,0.019275
1480,0.018737
1490,0.018922
1500,0.018396
1510,0.019684
1520,0.021592
1530,0.019060
1540,0.019457
1550,0.019596
1560,0.020598
1570,0.023333
1580,0.021853
1590,0.020458
1600,0.020520
1610,0.021921
1620,0.023735
1630,0.022819
1640,0.022513
1650,0.024353
1660,0.025398
1670,0.027590
1680,0.023612
1690,0.023713
1700,0.024409
1710,0.024285
1720,0.026948
1730,0.026573
1740,0.024999
1750,0.025913
1760,0.026793
1770,0.029742
1780,0.027204
1790,0.029025
1800,0.033224
1810,0.032885
1820,0.030402
1830,0.031115
1840,0.030732
1850,0.030870
1860,0.031106
1870,0.030586
1880,0.029478
1890,0.031164
1900,0.028892
1910,0.028565
1920,0.029943
1930,0.031850
1940,0.029510
1950,0.029730
1960,0.032139
1970,0.031074
1980,0.030695
1990,0.031890
2000,0.034009
2010,0.031630
2020,0.031883
2030,0.032591
2040,0.034991
2050,0.033729
2060,0.034262
2070,0.033850
2080,0.035709
2090,0.034557
2100,0.034637
2110,0.042081
2120,0.036006
2130,0.035807
2140,0.038154
2150,0.038688
2160,0.038436
2170,0.039413
2180,0.040988
2190,0.039319
